Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
cortex	DOF5.7	DREB2C_2	11	982	442	0.938635	0.938635	1	1	AT1G07420;AT1G12500;AT1G22830;AT2G02955;AT3G16240;AT4G12430;AT4G23730;AT5G13930;AT5G24760;AT5G42100;AT5G65430;
cortex	DOF5.7	ERF1	9	1002	442	0.986813	0.986813	1	1	AT2G02955;AT2G46490;AT3G12120;AT4G24110;AT4G32480;AT4G34050;AT4G38780;AT5G44340;AT5G65430;
cortex	DOF5.7	ETT	9	975	442	0.982864	0.982864	1	1	AT1G71866;AT2G35120;AT2G46930;AT3G06420;AT4G32460;AT4G34050;AT5G03150;AT5G61890;AT5G65430;
cortex	DOF5.7	ETT_2	10	888	442	0.927756	0.927756	1	1	AT1G12840;AT1G16370;AT1G72210;AT2G35120;AT3G12120;AT3G17510;AT4G19860;AT5G05270;AT5G11420;AT5G64440;
cortex	DOF5.7	GATA12	12	884	442	0.802134	0.802134	1	1	AT1G07420;AT1G12500;AT1G53380;AT2G35120;AT2G46490;AT3G06420;AT3G12110;AT3G12120;AT3G23810;AT4G32480;AT5G03150;AT5G65430;
cortex	DOF5.7	GLK1	6	930	442	0.998356	0.998356	1	1	AT1G15165;AT1G71866;AT1G79410;AT3G12110;AT3G23530;AT4G35660;
cortex	DOF5.7	GLK1_2	8	946	442	0.989875	0.989875	1	1	AT1G12840;AT1G22070;AT2G46490;AT3G12120;AT4G35660;AT5G64440;AT5G64620;AT5G65430;
cortex	DOF5.7	HSFB2A	9	875	442	0.956949	0.956949	1	1	AT1G22070;AT1G53380;AT1G64440;AT2G46930;AT3G16240;AT3G25505;AT4G34050;AT5G24760;AT5G64440;
cortex	DOF5.7	HSFB2A_2	8	960	442	0.991246	0.991246	1	1	AT1G12500;AT1G22830;AT1G64440;AT3G06420;AT3G25505;AT3G49780;AT4G00430;AT4G19860;
cortex	DOF5.7	HSFC1	10	930	442	0.948641	0.948641	1	1	AT1G12500;AT1G22830;AT1G44170;AT1G64440;AT1G71866;AT3G06420;AT3G25505;AT3G49780;AT4G00430;AT5G44340;
cortex	DOF5.7	HSFC1_2	5	893	442	0.999231	0.999231	1	1	AT1G64440;AT3G16240;AT3G25505;AT5G24760;AT5G64440;
cortex	DOF5.7	ICU4	19	709	442	0.0294943	0.176966	1	1	AT1G12500;AT1G16370;AT1G22070;AT1G79410;AT2G24850;AT2G46930;AT3G23810;AT3G49780;AT4G00430;AT4G18160;AT4G24110;AT4G32480;AT5G03150;AT5G11420;AT5G56540;AT5G57670;AT5G64440;AT5G64620;AT5G65430;
cortex	DOF5.7	KAN1	18	795	442	0.117442	0.375104	1	1	AT1G12840;AT1G22070;AT1G53380;AT1G71866;AT1G79410;AT2G26690;AT3G23530;AT3G23810;AT3G25505;AT3G28040;AT4G00430;AT4G34050;AT4G35660;AT5G07990;AT5G24760;AT5G25890;AT5G44340;AT5G52670;
cortex	DOF5.7	KAN4	10	852	442	0.904442	0.904442	1	1	AT1G22070;AT1G53380;AT2G46930;AT3G06420;AT3G16240;AT3G19450;AT4G00430;AT4G23730;AT4G35660;AT5G44340;
cortex	DOF5.7	KAN4_2	13	868	442	0.689605	0.689605	1	1	AT1G16370;AT1G22070;AT1G44170;AT1G53380;AT2G26690;AT3G06420;AT3G16240;AT3G25505;AT4G32460;AT4G35660;AT5G11420;AT5G44340;AT5G64620;
cortex	DOF5.7	LBD16	7	1024	442	0.998379	0.998379	1	1	AT1G79410;AT3G23530;AT3G25505;AT3G28040;AT4G32480;AT4G34050;AT5G13930;
cortex	DOF5.7	MYB111	31	918	442	0.000174549	0.00541102	0.0771506	1	AT1G07420;AT1G12500;AT1G12840;AT1G15165;AT1G16370;AT1G22830;AT1G44170;AT1G64440;AT2G24850;AT2G35120;AT2G46490;AT3G12110;AT3G12120;AT3G19450;AT3G28040;AT3G49780;AT4G00430;AT4G17220;AT4G19860;AT4G23730;AT4G34050;AT4G38780;AT4G39070;AT5G05270;AT5G07990;AT5G13930;AT5G24760;AT5G25890;AT5G42100;AT5G56540;AT5G57670;
cortex	DOF5.7	MYB111_2	26	937	442	0.00810084	0.0810084	1	1	AT1G07420;AT1G12500;AT1G12840;AT1G15165;AT1G21310;AT1G44170;AT2G35120;AT2G46490;AT3G12110;AT3G12120;AT3G19450;AT3G49780;AT4G00430;AT4G17220;AT4G19860;AT4G23730;AT4G34050;AT4G39070;AT5G05270;AT5G07990;AT5G13930;AT5G24760;AT5G25890;AT5G42100;AT5G56540;AT5G57670;
cortex	DOF5.7	MYB46	30	897	442	0.00026085	0.0073038	0.115296	1	AT1G07420;AT1G12500;AT1G12840;AT1G15165;AT1G44170;AT1G64440;AT2G35120;AT2G46490;AT3G06760;AT3G12110;AT3G12120;AT3G19450;AT3G23530;AT3G23810;AT3G49780;AT4G00430;AT4G17220;AT4G19860;AT4G23730;AT4G34050;AT4G38780;AT4G39070;AT5G05270;AT5G07990;AT5G13930;AT5G24760;AT5G25890;AT5G42100;AT5G56540;AT5G57670;
cortex	DOF5.7	MYB46_2	16	1001	442	0.601408	0.601408	1	1	AT1G12840;AT1G15165;AT2G35120;AT3G06760;AT3G12110;AT3G16240;AT3G19450;AT4G23730;AT4G34050;AT4G38780;AT4G39070;AT5G05270;AT5G24760;AT5G25890;AT5G42100;AT5G57670;
cortex	DOF5.7	MYB52	7	823	442	0.984739	0.984739	1	1	AT1G15165;AT2G46490;AT3G12110;AT3G19450;AT3G54830;AT5G13930;AT5G65430;
cortex	DOF5.7	MYB52_2	20	846	442	0.0747668	0.299067	1	1	AT1G12500;AT1G15165;AT1G21310;AT1G64440;AT2G26690;AT2G35120;AT2G46490;AT3G06420;AT3G06760;AT3G12110;AT3G23530;AT3G23810;AT3G49780;AT4G39070;AT5G11420;AT5G13930;AT5G24760;AT5G25890;AT5G44340;AT5G65430;
cortex	DOF5.7	MYB55	20	921	442	0.138041	0.414124	1	1	AT1G12840;AT1G22830;AT1G53380;AT2G35120;AT2G46490;AT3G12120;AT3G16240;AT3G19450;AT3G49780;AT4G00430;AT4G12430;AT4G17220;AT4G34050;AT4G38780;AT5G05270;AT5G07990;AT5G13930;AT5G24760;AT5G25890;AT5G42100;
cortex	DOF5.7	MYB55_2	20	965	442	0.186339	0.494296	1	1	AT1G07420;AT1G12840;AT1G15165;AT2G26690;AT2G35120;AT3G06760;AT3G12110;AT3G12120;AT3G19450;AT3G23530;AT3G25505;AT4G23730;AT4G34050;AT4G38780;AT5G05270;AT5G13930;AT5G24760;AT5G25890;AT5G42100;AT5G57670;
cortex	DOF5.7	MYB59	22	817	442	0.0192604	0.141566	1	1	AT1G12500;AT1G15165;AT1G16370;AT1G22070;AT2G35120;AT3G06420;AT3G06760;AT3G17510;AT3G19450;AT3G28040;AT3G49780;AT4G00430;AT4G32460;AT4G34050;AT4G38780;AT5G03150;AT5G05270;AT5G07990;AT5G13930;AT5G24760;AT5G25890;AT5G56540;
cortex	DOF5.7	MYC2	23	874	442	0.0214909	0.150436	1	1	AT1G07420;AT1G15165;AT1G22830;AT1G44170;AT1G64440;AT1G72210;AT1G79410;AT2G46930;AT3G06760;AT3G49780;AT3G54830;AT4G12430;AT4G18160;AT4G24110;AT4G32480;AT5G03150;AT5G07990;AT5G09440;AT5G11420;AT5G13930;AT5G24760;AT5G61890;AT5G65430;
cortex	DOF5.7	MYC3	27	906	442	0.00276241	0.0414361	1	1	AT1G07420;AT1G15165;AT1G22070;AT1G22830;AT1G44170;AT1G64440;AT1G72210;AT1G79410;AT2G46930;AT3G06760;AT3G49780;AT3G54830;AT4G12430;AT4G18160;AT4G24110;AT4G32460;AT4G32480;AT5G03150;AT5G05270;AT5G07990;AT5G09440;AT5G11420;AT5G13930;AT5G24760;AT5G61890;AT5G64620;AT5G65430;
cortex	DOF5.7	MYC4	25	902	442	0.00944198	0.0905115	1	1	AT1G07420;AT1G15165;AT1G22070;AT1G22830;AT1G44170;AT1G64440;AT2G40260;AT2G46930;AT3G06760;AT3G12120;AT3G49780;AT3G54830;AT4G12430;AT4G18160;AT4G24110;AT4G32480;AT5G03150;AT5G07990;AT5G09440;AT5G11420;AT5G13930;AT5G24760;AT5G56540;AT5G61890;AT5G65430;
cortex	DOF5.7	ORA47	9	958	442	0.979848	0.979848	1	1	AT2G46930;AT3G16240;AT4G12430;AT4G24110;AT4G34050;AT4G38780;AT5G13930;AT5G25890;AT5G64440;
cortex	DOF5.7	ORA47_2	11	1013	442	0.952073	0.952073	1	1	AT1G12500;AT1G15165;AT1G22830;AT2G46490;AT2G46930;AT3G28040;AT4G32480;AT4G34050;AT4G38780;AT5G44340;AT5G65430;
cortex	DOF5.7	PIF3	19	960	442	0.251186	0.502371	1	1	AT1G07420;AT1G12840;AT1G15165;AT1G22070;AT1G22830;AT1G64440;AT1G72210;AT1G79410;AT4G12430;AT4G19860;AT4G24110;AT4G32460;AT4G32480;AT5G05270;AT5G09440;AT5G11420;AT5G13930;AT5G24760;AT5G65430;
cortex	DOF5.7	PIF4	20	955	442	0.174671	0.494296	1	1	AT1G07420;AT1G22830;AT1G44170;AT1G64440;AT1G72210;AT2G46930;AT3G06760;AT3G49780;AT3G54830;AT4G12430;AT4G18160;AT4G24110;AT4G32480;AT5G03150;AT5G09440;AT5G11420;AT5G13930;AT5G24760;AT5G61890;AT5G65430;
cortex	DOF5.7	PIF5	19	981	442	0.281282	0.533603	1	1	AT1G07420;AT1G15165;AT1G22070;AT1G22830;AT1G44170;AT1G64440;AT2G46930;AT3G12120;AT3G49780;AT4G12430;AT4G24110;AT4G32480;AT5G05270;AT5G09440;AT5G11420;AT5G13930;AT5G24760;AT5G61890;AT5G65430;
cortex	DOF5.7	RAP2.3	12	951	442	0.870876	0.870876	1	1	AT1G15165;AT1G22070;AT2G02955;AT2G46930;AT4G24110;AT4G32480;AT4G34050;AT4G38780;AT5G05270;AT5G11420;AT5G64440;AT5G65430;
cortex	DOF5.7	RAP2.3_2	6	944	442	0.998615	0.998615	1	1	AT2G02955;AT2G46490;AT2G46930;AT3G16240;AT4G24110;AT5G44340;
cortex	DOF5.7	RAP2.3_3ARY	7	921	442	0.994716	0.994716	1	1	AT2G02955;AT2G46930;AT3G12120;AT4G39070;AT5G05270;AT5G11420;AT5G13930;
cortex	DOF5.7	RAP2.6	13	1024	442	0.874059	0.874059	1	1	AT1G12500;AT1G15165;AT1G22070;AT2G46930;AT3G12120;AT3G28040;AT4G24110;AT4G32480;AT4G34050;AT4G38780;AT5G11420;AT5G44340;AT5G65430;
cortex	DOF5.7	RAP2.6_2	9	967	442	0.9815	0.9815	1	1	AT1G22070;AT2G02955;AT2G46930;AT3G16240;AT4G18160;AT4G24110;AT4G32480;AT4G34050;AT5G44340;
cortex	DOF5.7	RAP2.6_3ARY	8	846	442	0.972557	0.972557	1	1	AT1G72210;AT2G46930;AT3G16240;AT4G24110;AT4G34050;AT4G38780;AT5G11420;AT5G65430;
cortex	DOF5.7	REM1	19	844	442	0.114496	0.375104	1	1	AT1G07420;AT1G22070;AT1G71866;AT1G79410;AT2G02955;AT2G40260;AT2G46490;AT3G16240;AT3G17510;AT3G23530;AT3G23810;AT3G25505;AT3G28040;AT3G49780;AT5G09440;AT5G13930;AT5G24760;AT5G42100;AT5G44340;
cortex	DOF5.7	REM1_2	14	861	442	0.573434	0.573434	1	1	AT1G12840;AT1G22830;AT1G71866;AT3G25505;AT3G49780;AT4G23730;AT4G35660;AT5G07990;AT5G11420;AT5G24760;AT5G25890;AT5G57670;AT5G61890;AT5G64620;
cortex	DOF5.7	RRTF1	15	978	442	0.663309	0.663309	1	1	AT1G12500;AT1G15165;AT1G22070;AT3G12120;AT3G28040;AT4G32480;AT4G34050;AT4G38780;AT5G05270;AT5G11420;AT5G13930;AT5G44340;AT5G52670;AT5G64440;AT5G65430;
cortex	DOF5.7	RRTF1_2	5	971	442	0.999726	0.999726	1	1	AT1G72210;AT2G02955;AT2G46490;AT4G32480;AT5G44340;
cortex	DOF5.7	RRTF1_3ARY	6	960	442	0.998863	0.998863	1	1	AT2G02955;AT2G46490;AT3G16240;AT4G38780;AT5G44340;AT5G65430;
cortex	DOF5.7	RVE1	10	751	442	0.804545	0.804545	1	1	AT1G07420;AT1G44170;AT3G12120;AT3G28040;AT4G00430;AT4G12430;AT4G23730;AT4G35660;AT5G09440;AT5G44340;
cortex	DOF5.7	RVE1_2	8	729	442	0.920794	0.920794	1	1	AT1G12500;AT1G44170;AT3G12120;AT3G23530;AT3G23810;AT4G00430;AT4G38780;AT5G11420;
cortex	DOF5.7	SPL1	17	874	442	0.289569	0.533603	1	1	AT1G15165;AT2G35120;AT2G40260;AT2G46930;AT3G06760;AT3G12110;AT3G49780;AT4G00430;AT4G18160;AT4G19860;AT4G34050;AT4G38780;AT5G07990;AT5G09440;AT5G13930;AT5G61890;AT5G64440;
cortex	DOF5.7	SPL1_2	16	884	442	0.401667	0.533603	1	1	AT1G12500;AT1G15165;AT2G35120;AT3G06760;AT3G12110;AT3G12120;AT3G28040;AT4G18160;AT4G19860;AT4G34050;AT4G38780;AT5G07990;AT5G09440;AT5G25890;AT5G61890;AT5G64440;
cortex	DOF5.7	SPL7	18	978	442	0.364766	0.533603	1	1	AT1G12500;AT1G15165;AT1G22070;AT2G35120;AT2G40260;AT3G06760;AT3G12110;AT3G12120;AT3G16240;AT3G49780;AT4G19860;AT4G34050;AT4G38780;AT5G07990;AT5G09440;AT5G13930;AT5G61890;AT5G64440;
cortex	DOF5.7	STY1	11	980	442	0.937666	0.937666	1	1	AT1G07420;AT1G22830;AT1G72210;AT3G06760;AT3G25505;AT3G54830;AT4G24110;AT5G07990;AT5G13930;AT5G42100;AT5G44340;
cortex	DOF5.7	STY1_2	12	914	442	0.835671	0.835671	1	1	AT1G64440;AT2G40260;AT3G23530;AT4G23730;AT4G24110;AT4G32480;AT4G35660;AT5G07990;AT5G09440;AT5G24760;AT5G42100;AT5G65430;
cortex	DOF5.7	TCP15	15	944	442	0.609472	0.609472	1	1	AT1G22070;AT1G53380;AT1G79410;AT2G46930;AT3G12110;AT3G12120;AT3G16240;AT3G49780;AT4G24110;AT4G32480;AT4G34050;AT5G05270;AT5G11420;AT5G13930;AT5G24760;
cortex	DOF5.7	TCP16	17	938	442	0.394431	0.533603	1	1	AT1G07420;AT1G12840;AT1G15165;AT1G16370;AT1G22070;AT1G53380;AT1G79410;AT2G46930;AT3G12120;AT3G16240;AT3G49780;AT4G12430;AT4G32480;AT4G34050;AT5G05270;AT5G13930;AT5G24760;
cortex	DOF5.7	TCP23	15	941	442	0.60454	0.60454	1	1	AT1G22070;AT1G22830;AT1G53380;AT1G79410;AT3G12110;AT3G12120;AT3G16240;AT3G49780;AT4G24110;AT4G32460;AT4G32480;AT4G34050;AT5G05270;AT5G13930;AT5G24760;
cortex	DOF5.7	TGA2	10	844	442	0.898484	0.898484	1	1	AT1G12500;AT1G22830;AT1G72210;AT2G35120;AT2G40260;AT2G46490;AT3G19450;AT3G28040;AT3G49780;AT5G52670;
cortex	DOF5.7	TGA2_2	8	871	442	0.978457	0.978457	1	1	AT1G22070;AT1G22830;AT3G12120;AT3G49780;AT4G24110;AT4G32480;AT5G09440;AT5G65430;
cortex	DOF5.7	TOE1	9	815	442	0.928165	0.928165	1	1	AT2G35120;AT4G12430;AT4G32460;AT4G32480;AT4G34050;AT4G38780;AT5G52670;AT5G64440;AT5G65430;
cortex	DOF5.7	TOE1_2	8	904	442	0.984466	0.984466	1	1	AT1G21310;AT3G49780;AT4G12430;AT4G18160;AT4G19860;AT4G24110;AT5G09440;AT5G25890;
cortex	DOF5.7	TOE1_3ARY	8	821	442	0.965223	0.965223	1	1	AT1G22830;AT1G53380;AT2G02955;AT3G12110;AT4G17220;AT4G23730;AT4G38780;AT5G07990;
cortex	DOF5.7	TOE2	8	796	442	0.956166	0.956166	1	1	AT2G35120;AT4G12430;AT4G32460;AT4G32480;AT4G38780;AT5G56540;AT5G64440;AT5G65430;
cortex	DOF5.7	TOE2_2	7	897	442	0.993106	0.993106	1	1	AT1G21310;AT2G46490;AT3G49780;AT4G12430;AT4G24110;AT5G09440;AT5G25890;
cortex	DOF5.7	TOE2_3ARY	11	823	442	0.809774	0.809774	1	1	AT1G22830;AT1G53380;AT2G40260;AT3G12110;AT3G12120;AT4G17220;AT4G23730;AT4G38780;AT5G07990;AT5G52670;AT5G56540;
cortex	DOF5.7	WOX13	12	933	442	0.85457	0.85457	1	1	AT1G16370;AT2G02955;AT2G24850;AT3G06420;AT3G06760;AT3G12120;AT3G16240;AT3G25505;AT4G32460;AT4G39070;AT5G07990;AT5G64440;
cortex	DOF5.7	WOX13_2	7	752	442	0.96856	0.96856	1	1	AT1G64440;AT2G46930;AT4G23730;AT4G39070;AT5G03150;AT5G09440;AT5G57670;
cortex	DOF5.7	WRKY12	13	899	442	0.735558	0.735558	1	1	AT1G15165;AT1G16370;AT1G22070;AT1G22830;AT3G12120;AT4G19860;AT4G34050;AT4G38780;AT5G03150;AT5G09440;AT5G13930;AT5G24760;AT5G65430;
cortex	DOF5.7	WRKY18	12	908	442	0.829331	0.829331	1	1	AT1G71866;AT1G79410;AT3G12110;AT3G23530;AT3G54830;AT4G19860;AT4G24110;AT4G35660;AT4G38780;AT5G03150;AT5G64620;AT5G65430;
cortex	DOF5.7	WRKY38	8	905	442	0.984621	0.984621	1	1	AT1G12500;AT1G16370;AT1G22070;AT1G22830;AT4G19860;AT4G34050;AT4G38780;AT5G03150;
cortex	DOF5.7	WRKY45	7	863	442	0.99002	0.99002	1	1	AT1G16370;AT1G22070;AT1G22830;AT3G12110;AT3G12120;AT4G19860;AT4G34050;
cortex	DOF5.7	YAB1	10	739	442	0.788748	0.788748	1	1	AT1G22070;AT1G44170;AT1G64440;AT3G16240;AT3G23530;AT3G28040;AT3G54830;AT4G17220;AT5G56540;AT5G64620;
cortex	DOF5.7	YAB5	21	822	442	0.0356868	0.214121	1	1	AT1G12500;AT1G22070;AT1G71866;AT2G46930;AT3G12120;AT3G16240;AT3G23810;AT3G25505;AT3G49780;AT4G17220;AT4G32460;AT4G34050;AT4G35660;AT5G09440;AT5G11420;AT5G25890;AT5G44340;AT5G52670;AT5G56540;AT5G57670;AT5G64620;
cortex	DOF5.7	ZAT14	7	913	442	0.994224	0.994224	1	1	AT1G12840;AT1G22070;AT2G35120;AT3G19450;AT3G25505;AT4G23730;AT4G35660;
cortex	DOF5.7	ZAT18	10	959	442	0.959781	0.959781	1	1	AT1G07420;AT1G22070;AT1G71866;AT2G35120;AT2G46930;AT3G06760;AT3G25505;AT3G49780;AT5G05270;AT5G56540;
cortex	DOF5.7	ZAT2	11	1047	442	0.96378	0.96378	1	1	AT1G12840;AT1G15165;AT1G64440;AT3G12110;AT4G23730;AT4G24110;AT4G32480;AT4G39070;AT5G05270;AT5G42100;AT5G65430;
cortex	DOF5.7	ZAT6	8	783	442	0.95067	0.95067	1	1	AT1G79410;AT3G23810;AT4G12430;AT4G32460;AT5G07990;AT5G13930;AT5G44340;AT5G61890;
cortex	DOF5.7_2	DREB2C	10	771	442	0.828907	0.828907	1	1	AT1G01620;AT2G36310;AT2G41660;AT2G42490;AT2G45960;AT2G46490;AT4G04970;AT4G17615;AT4G39800;AT5G55850;
cortex	DOF5.7_2	DREB2C_2	11	747	442	0.701742	0.701742	1	1	AT1G09350;AT1G15165;AT1G76670;AT1G78040;AT2G02955;AT2G36310;AT3G05490;AT3G24190;AT4G17615;AT4G23730;AT5G39580;
cortex	DOF5.7_2	ERF1	13	864	442	0.683351	0.683351	1	1	AT1G15165;AT1G78040;AT2G02955;AT2G36310;AT2G41660;AT2G45960;AT2G46490;AT2G47270;AT3G62420;AT4G39800;AT5G02270;AT5G05270;AT5G55850;
cortex	DOF5.7_2	ETT	7	815	442	0.983411	0.983411	1	1	AT1G01620;AT1G09350;AT1G13420;AT1G60010;AT1G78040;AT4G32460;AT5G03150;
cortex	DOF5.7_2	ETT_2	17	695	442	0.0750262	0.300105	1	1	AT1G03870;AT1G55120;AT2G02990;AT2G30520;AT2G41660;AT2G42490;AT2G44670;AT2G45960;AT2G47270;AT2G48080;AT3G06760;AT3G28740;AT4G30420;AT4G39800;AT5G05270;AT5G39580;AT5G65380;
cortex	DOF5.7_2	GATA12	17	979	442	0.463869	0.533603	1	1	AT1G21070;AT1G63080;AT1G76640;AT1G76670;AT1G78860;AT2G41660;AT2G45290;AT2G46490;AT3G12110;AT3G15750;AT3G62420;AT4G30420;AT4G37235;AT5G02790;AT5G03150;AT5G57123;AT5G59300;
cortex	DOF5.7_2	GLK1	8	861	442	0.976252	0.976252	1	1	AT1G09350;AT1G15165;AT1G63080;AT3G15750;AT5G03350;AT5G18590;AT5G45630;AT5G59300;
cortex	DOF5.7_2	GLK1_2	19	877	442	0.147584	0.442752	1	1	AT1G22070;AT1G44830;AT1G78040;AT2G02990;AT2G37170;AT2G44670;AT2G45290;AT2G46490;AT2G47270;AT3G28740;AT4G04970;AT4G10960;AT4G17615;AT4G37235;AT5G02790;AT5G20410;AT5G24570;AT5G45630;AT5G59300;
cortex	DOF5.7_2	HSFB2A	14	820	442	0.499395	0.533603	1	1	AT1G22070;AT2G02990;AT2G26600;AT2G42490;AT2G44670;AT2G47270;AT3G62420;AT4G02700;AT5G03350;AT5G09960;AT5G20410;AT5G39580;AT5G57123;AT5G59300;
cortex	DOF5.7_2	HSFB2A_2	8	843	442	0.971758	0.971758	1	1	AT1G01620;AT1G03870;AT1G76640;AT2G37170;AT4G02700;AT4G17615;AT5G09960;AT5G20410;
cortex	DOF5.7_2	HSFC1	12	859	442	0.770609	0.770609	1	1	AT1G01620;AT1G03870;AT1G55120;AT1G76640;AT2G37170;AT2G42490;AT3G15750;AT3G62420;AT4G02700;AT4G18930;AT5G20410;AT5G45630;
cortex	DOF5.7_2	HSFC1_2	11	817	442	0.802444	0.802444	1	1	AT1G09350;AT2G42490;AT2G44670;AT2G47270;AT4G10960;AT5G09960;AT5G20410;AT5G45630;AT5G57123;AT5G59010;AT5G59300;
cortex	DOF5.7_2	ICU4	19	750	442	0.0473196	0.236598	1	1	AT1G22070;AT1G76670;AT2G02990;AT2G30520;AT2G42490;AT3G25290;AT3G47220;AT4G02700;AT4G18930;AT4G37235;AT5G03150;AT5G09960;AT5G11420;AT5G12300;AT5G15180;AT5G20410;AT5G24570;AT5G45630;AT5G55850;
cortex	DOF5.7_2	KAN1	13	782	442	0.5411	0.5411	1	1	AT1G22070;AT2G26600;AT2G45960;AT3G05490;AT3G06750;AT3G28740;AT3G44860;AT4G02700;AT4G18930;AT4G30420;AT5G07990;AT5G20410;AT5G45630;
cortex	DOF5.7_2	KAN4	11	808	442	0.791067	0.791067	1	1	AT1G22070;AT2G26600;AT2G44670;AT2G47270;AT3G05490;AT3G62420;AT4G17615;AT4G23730;AT5G15180;AT5G20410;AT5G39580;
cortex	DOF5.7_2	KAN4_2	20	823	442	0.0601739	0.28603	1	1	AT1G18280;AT1G22070;AT1G27450;AT1G60010;AT1G76640;AT2G26600;AT3G05490;AT3G06750;AT3G15750;AT3G62420;AT4G02700;AT4G10960;AT4G18930;AT4G32460;AT4G37235;AT5G11420;AT5G15180;AT5G20410;AT5G39580;AT5G59010;
cortex	DOF5.7_2	LBD16	11	941	442	0.915975	0.915975	1	1	AT1G09350;AT1G13420;AT1G16510;AT1G21070;AT4G17615;AT5G09960;AT5G15180;AT5G20410;AT5G39580;AT5G59010;AT5G59300;
cortex	DOF5.7_2	MYB111	18	723	442	0.0599919	0.28603	1	1	AT1G13420;AT1G18280;AT1G27450;AT1G60010;AT2G24840;AT2G41660;AT2G46490;AT3G05490;AT3G22200;AT3G48940;AT4G23730;AT4G30420;AT5G05270;AT5G07990;AT5G12300;AT5G20410;AT5G57123;AT5G65380;
cortex	DOF5.7_2	MYB111_2	20	757	442	0.029556	0.177336	1	1	AT1G03870;AT1G09350;AT1G13420;AT1G18280;AT1G60010;AT2G24840;AT2G36310;AT2G46490;AT3G05490;AT3G06750;AT3G12110;AT3G22200;AT3G48940;AT4G23730;AT4G30420;AT5G02270;AT5G05270;AT5G07990;AT5G12300;AT5G57123;
cortex	DOF5.7_2	MYB46	15	709	442	0.205901	0.494296	1	1	AT1G03870;AT1G18280;AT1G60010;AT1G63080;AT2G24840;AT2G41660;AT2G46490;AT3G22200;AT3G48940;AT4G23730;AT4G30420;AT5G05270;AT5G07990;AT5G12300;AT5G65380;
cortex	DOF5.7_2	MYB46_2	16	747	442	0.183819	0.494296	1	1	AT1G01620;AT1G09350;AT1G13420;AT1G15165;AT1G16510;AT1G18280;AT1G60010;AT1G63080;AT2G26600;AT3G06760;AT3G12110;AT4G23730;AT4G30420;AT5G05270;AT5G12300;AT5G57123;
cortex	DOF5.7_2	MYB52	4	312	442	0.765028	0.765028	1	1	AT1G78860;AT2G41660;AT2G46490;AT3G48940;
cortex	DOF5.7_2	MYB52_2	14	595	442	0.124192	0.375104	1	1	AT1G13420;AT1G18280;AT1G63080;AT1G78860;AT2G02990;AT2G41660;AT2G46490;AT3G06750;AT3G06760;AT3G12110;AT3G22200;AT4G17615;AT4G30420;AT5G11420;
cortex	DOF5.7_2	MYB55	16	840	442	0.32613	0.533603	1	1	AT1G03870;AT1G09350;AT1G18280;AT1G60010;AT1G63080;AT2G24840;AT2G46490;AT3G24190;AT4G30420;AT4G39800;AT5G05270;AT5G07990;AT5G15180;AT5G24570;AT5G57123;AT5G65380;
cortex	DOF5.7_2	MYB55_2	15	772	442	0.306723	0.533603	1	1	AT1G01620;AT1G09350;AT1G13420;AT1G15165;AT1G16510;AT1G18280;AT1G60010;AT2G30520;AT3G06760;AT3G12110;AT3G48940;AT4G23730;AT5G05270;AT5G12300;AT5G57123;
cortex	DOF5.7_2	MYB59	12	745	442	0.586665	0.586665	1	1	AT1G09350;AT1G15165;AT1G22070;AT1G60010;AT2G24840;AT2G37170;AT4G30420;AT5G03150;AT5G05270;AT5G07990;AT5G62670;AT5G65380;
cortex	DOF5.7_2	MYC2	22	706	442	0.00394442	0.0512775	1	1	AT1G09350;AT1G27450;AT1G44830;AT1G76670;AT2G30520;AT2G41660;AT2G44670;AT2G45960;AT2G47270;AT3G05490;AT3G06750;AT3G06760;AT4G04970;AT4G17615;AT4G39800;AT5G03150;AT5G07990;AT5G09440;AT5G11420;AT5G45630;AT5G62670;AT5G65380;
cortex	DOF5.7_2	MYC3	21	691	442	0.00632536	0.069579	1	1	AT1G09350;AT1G76670;AT2G30520;AT2G41660;AT2G45960;AT2G47270;AT3G05490;AT3G06750;AT3G06760;AT4G04970;AT4G10960;AT4G17615;AT4G32460;AT4G39800;AT5G03150;AT5G07990;AT5G09440;AT5G11420;AT5G45630;AT5G62670;AT5G65380;
cortex	DOF5.7_2	MYC4	21	649	442	0.00312978	0.0438169	1	1	AT1G09350;AT1G76670;AT1G78860;AT2G30520;AT2G44670;AT2G45960;AT2G47270;AT3G05490;AT3G06750;AT3G06760;AT4G04970;AT4G17615;AT4G37235;AT4G39800;AT5G03150;AT5G07990;AT5G09440;AT5G11420;AT5G62670;AT5G64810;AT5G65380;
cortex	DOF5.7_2	ORA47	9	769	442	0.896065	0.896065	1	1	AT1G01620;AT1G55120;AT2G36310;AT2G37170;AT2G41660;AT2G45960;AT4G17615;AT4G18930;AT5G15180;
cortex	DOF5.7_2	ORA47_2	13	776	442	0.52984	0.533603	1	1	AT1G09350;AT1G15165;AT1G76670;AT1G78040;AT2G41660;AT2G46490;AT2G47270;AT3G24190;AT3G62420;AT4G17615;AT4G39800;AT5G18590;AT5G39580;
